0.649 (+/-0.601) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.15, 'max_iter': 10000, 'solver': 'lbfgs'}
0.668 (+/-0.588) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.15, 'max_iter': 10000, 'solver': 'sgd'}
0.622 (+/-0.693) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.2, 'max_iter': 2500, 'solver': 'adam'}
0.780 (+/-0.587) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.2, 'max_iter': 2500, 'solver': 'lbfgs'}
0.734 (+/-0.681) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.2, 'max_iter': 2500, 'solver': 'sgd'}
0.611 (+/-0.669) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.2, 'max_iter': 5000, 'solver': 'adam'}
0.498 (+/-0.678) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.2, 'max_iter': 5000, 'solver': 'lbfgs'}
0.518 (+/-0.769) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.2, 'max_iter': 5000, 'solver': 'sgd'}
0.463 (+/-0.848) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.2, 'max_iter': 10000, 'solver': 'adam'}
0.608 (+/-0.728) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.2, 'max_iter': 10000, 'solver': 'lbfgs'}
0.657 (+/-0.573) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.2, 'max_iter': 10000, 'solver': 'sgd'}
1.000 (+/-0.000) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'max_iter': 2500, 'solver': 'adam'}
0.452 (+/-0.351) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'max_iter': 2500, 'solver': 'lbfgs'}
0.960 (+/-0.237) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'max_iter': 2500, 'solver': 'sgd'}
0.966 (+/-0.144) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'max_iter': 5000, 'solver': 'adam'}
0.680 (+/-0.609) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'max_iter': 5000, 'solver': 'lbfgs'}
0.889 (+/-0.294) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'max_iter': 5000, 'solver': 'sgd'}
0.945 (+/-0.201) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'max_iter': 10000, 'solver': 'adam'}
0.563 (+/-0.580) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'max_iter': 10000, 'solver': 'lbfgs'}
0.925 (+/-0.302) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'max_iter': 10000, 'solver': 'sgd'}
0.790 (+/-0.596) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05, 'max_iter': 2500, 'solver': 'adam'}
0.552 (+/-0.739) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05, 'max_iter': 2500, 'solver': 'lbfgs'}
0.815 (+/-0.609) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05, 'max_iter': 2500, 'solver': 'sgd'}
0.782 (+/-0.612) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05, 'max_iter': 5000, 'solver': 'adam'}
0.675 (+/-0.363) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05, 'max_iter': 5000, 'solver': 'lbfgs'}
0.909 (+/-0.311) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05, 'max_iter': 5000, 'solver': 'sgd'}
