0.300 (+/-0.106) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 50, 'solver': 'adam'}
0.363 (+/-0.141) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 50, 'solver': 'lbfgs'}
0.018 (+/-0.034) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 50, 'solver': 'sgd'}
0.381 (+/-0.177) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 100, 'solver': 'adam'}
0.521 (+/-0.314) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 100, 'solver': 'lbfgs'}
0.025 (+/-0.032) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 100, 'solver': 'sgd'}
0.812 (+/-0.224) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 500, 'solver': 'adam'}
0.852 (+/-0.213) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}
0.030 (+/-0.045) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 500, 'solver': 'sgd'}
0.585 (+/-0.213) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 50, 'solver': 'adam'}
0.449 (+/-0.203) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 50, 'solver': 'lbfgs'}
0.055 (+/-0.067) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 50, 'solver': 'sgd'}
0.768 (+/-0.187) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 100, 'solver': 'adam'}
0.445 (+/-0.255) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 100, 'solver': 'lbfgs'}
0.095 (+/-0.145) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 100, 'solver': 'sgd'}
0.949 (+/-0.117) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 500, 'solver': 'adam'}
0.843 (+/-0.274) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 500, 'solver': 'lbfgs'}
0.136 (+/-0.079) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 500, 'solver': 'sgd'}
0.726 (+/-0.232) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.1, 'max_iter': 50, 'solver': 'adam'}
0.461 (+/-0.161) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.1, 'max_iter': 50, 'solver': 'lbfgs'}
0.113 (+/-0.094) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.1, 'max_iter': 50, 'solver': 'sgd'}
0.837 (+/-0.099) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.1, 'max_iter': 100, 'solver': 'adam'}
0.466 (+/-0.217) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.1, 'max_iter': 100, 'solver': 'lbfgs'}
0.138 (+/-0.128) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.1, 'max_iter': 100, 'solver': 'sgd'}
0.914 (+/-0.295) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.1, 'max_iter': 500, 'solver': 'adam'}
0.850 (+/-0.368) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.1, 'max_iter': 500, 'solver': 'lbfgs'}
0.198 (+/-0.186) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.1, 'max_iter': 500, 'solver': 'sgd'}
0.608 (+/-0.256) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.15, 'max_iter': 50, 'solver': 'adam'}
0.379 (+/-0.193) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.15, 'max_iter': 50, 'solver': 'lbfgs'}
0.131 (+/-0.123) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.15, 'max_iter': 50, 'solver': 'sgd'}
